"","votes","user_id","review_id","stars","date","text","type","business_id"
"1","{""funny"":""0"",""useful"":""2"",""cool"":""1""}","Xqd0DzHaiyRqVH3WRG7hzg","15SdjuK7DmYqUAj6rjGowg",5,"2007-05-17","dr. goldberg offers everything i look for in a general practitioner.  he's nice and easy to talk to without being patronizing; he's always on time in seeing his patients; he's affiliated with a top-notch hospital (nyu) which my parents have explained to m","review","vcNAWiLM4dR7D2nwwJ7nCA"
"2","{""funny"":""0"",""useful"":""2"",""cool"":""0""}","H1kH6QZV7Le4zqTRNxoZow","RF6UnRTtG7tWMcrO2GEoAg",2,"2010-03-22","Unfortunately, the frustration of being Dr. Goldberg's patient is a repeat of the experience I've had with so many other doctors in NYC -- good doctor, terrible staff.  It seems that his staff simply never answers the phone.  It usually takes 2 hours of r","review","vcNAWiLM4dR7D2nwwJ7nCA"
"3","{""funny"":""0"",""useful"":""1"",""cool"":""1""}","zvJCcrpm2yOZrxKffwGQLA","-TsVN230RCkLYKBeLsuz7A",4,"2012-02-14","Dr. Goldberg has been my doctor for years and I like him.  I've found his office to be fairly efficient.  Today I actually got to see the doctor a few minutes early!  

He seems very engaged with his patients and his demeanor is friendly, yet authoritativ","review","vcNAWiLM4dR7D2nwwJ7nCA"
"4","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","KBLW4wJA_fwoWmMhiHRVOA","dNocEAyUucjT371NNND41Q",4,"2012-03-02","Been going to Dr. Goldberg for over 10 years. I think I was one of his 1st patients when he started at MHMG. He's been great over the years and is really all about the big picture. It is because of him, not my now former gyn Dr. Markoff, that I found out ","review","vcNAWiLM4dR7D2nwwJ7nCA"
"5","{""funny"":""0"",""useful"":""2"",""cool"":""1""}","zvJCcrpm2yOZrxKffwGQLA","ebcN2aqmNUuYNoyvQErgnA",4,"2012-05-15","Got a letter in the mail last week that said Dr. Goldberg is moving to Arizona to take a new position there in June.  He will be missed very much.  

I think finding a new doctor in NYC that you actually like might almost be as awful as trying to find a d","review","vcNAWiLM4dR7D2nwwJ7nCA"
"6","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","Qrs3EICADUKNFoUq2iHStA","_ePLBPrkrf4bhyiKWEn4Qg",1,"2013-04-19","I don't know what Dr. Goldberg was like before  moving to Arizona, but let me tell you, STAY AWAY from this doctor and this office. I was going to Dr. Johnson before he left and Goldberg took over when Johnson left. He is not a caring doctor. He is only i","review","vcNAWiLM4dR7D2nwwJ7nCA"
"7","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","jE5xVugujSaskAoh2DRx3Q","kMu0knsSUFW2DZXqKkGWlg",5,"2014-01-02","Top notch doctor in a top notch practice. Can't say I am surprised when I was referred to him by another doctor who I think is wonderful and because he went to one of the best medical schools in the country. 
It is really easy to get an appointment. There","review","vcNAWiLM4dR7D2nwwJ7nCA"
"8","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","QnhQ8G51XbUpVEyWY2Km-A","onDPFgNZpMk-bT1zlForRA",5,"2014-01-08","Dr. Eric Goldberg is a fantastic doctor who has correctly diagnosed every issue that my wife and I have had. Unlike many of my past doctors, Dr. Goldberg is very accessible and we have been able to schedule appointments with him and his staff very quickly","review","vcNAWiLM4dR7D2nwwJ7nCA"
"9","{""funny"":""0"",""useful"":""1"",""cool"":""0""}","tAB7GJpUuaKF4W-3P0d95A","bOJD0Kc3wGioat3oSFqgPQ",1,"2014-08-01","I'm writing this review to give you a heads up before you see this Doctor. The office staff and administration are very unprofessional. I left a message with multiple people regarding my bill, and no one ever called me back. I had to hound them to get an ","review","vcNAWiLM4dR7D2nwwJ7nCA"
"10","{""funny"":""0"",""useful"":""0"",""cool"":""0""}","GP-h9colXgkT79BW7aDJeg","QzjRXUNSGk3PySEcg5y92g",5,"2014-12-12","I love Dr. Goldberg. Best doctor I've ever had, and I've had a bunch after moving around a lot in the past 25 years. Good listener, friendly & straightforward. Always presents options and takes a ""let's try the least extreme course"" first. Office staff ha","review","vcNAWiLM4dR7D2nwwJ7nCA"
