business_categories,city,review_count
"[Breakfast & Brunch, Steakhouses, French, Restaurants]",Las Vegas,4578
"[Sandwiches, Restaurants]",Las Vegas,3984
"[Buffets, Restaurants]",Las Vegas,3828
"[Buffets, Restaurants]",Las Vegas,3046
"[American (Traditional), Restaurants]",Las Vegas,3007
"[Buffets, Restaurants]",Las Vegas,2949
"[Breakfast & Brunch, French, Restaurants]",Las Vegas,2593
"[American (New), Buffets, Restaurants]",Las Vegas,2583
"[Burgers, Restaurants]",Las Vegas,2537
"[Hotels & Travel, Arts & Entertainment, Casinos, Event Planning & Services, Hotels]",Las Vegas,2510
"[Arts & Entertainment, Resorts, Casinos, Event Planning & Services, Hotels & Travel, Hotels]",Las Vegas,2440
"[Breakfast & Brunch, American (New), Restaurants]",Las Vegas,2395
"[Nightlife, Dance Clubs]",Las Vegas,2302
"[Hotels & Travel, Airports]",Las Vegas,2201
"[Southern, Restaurants]",Las Vegas,2143
"[Arts & Entertainment, Resorts, Casinos, Event Planning & Services, Hotels & Travel, Hotels]",Las Vegas,2127
"[Breakfast & Brunch, American (New), Restaurants]",Las Vegas,2110
"[Pizza, Restaurants]",Las Vegas,2105
"[Hotels & Travel, Arts & Entertainment, Casinos, Event Planning & Services, Hotels]",Las Vegas,2079
"[Thai, Restaurants]",Las Vegas,2063
"[Hotels & Travel, Event Planning & Services, Hotels]",Las Vegas,2051
"[Bars, American (Traditional), Nightlife, Restaurants]",Las Vegas,1986
"[Burgers, Restaurants]",Las Vegas,1930
"[Lounges, Bars, Nightlife, Dance Clubs]",Las Vegas,1872
"[Burgers, American (Traditional), Restaurants]",Las Vegas,1757
"[Hotels & Travel, Arts & Entertainment, Casinos, Event Planning & Services, Hotels]",Las Vegas,1714
"[Arts & Entertainment, Resorts, Casinos, Event Planning & Services, Hotels & Travel, Hotels]",Las Vegas,1710
"[Nightlife, Dance Clubs]",Las Vegas,1701
"[Arts & Entertainment, Resorts, Casinos, Event Planning & Services, Hotels & Travel, Hotels]",Las Vegas,1661
"[Food, Desserts, American (Traditional), Restaurants]",Las Vegas,1645
"[Steakhouses, Restaurants]",Las Vegas,1542
"[Hotels & Travel, Arts & Entertainment, Casinos, Event Planning & Services, Hotels]",Las Vegas,1537
"[Steakhouses, American (New), Restaurants]",Las Vegas,1531
"[Arts & Entertainment, Resorts, Casinos, Event Planning & Services, Hotels & Travel, Hotels]",Las Vegas,1530
"[Vietnamese, Chinese, Restaurants]",Las Vegas,1514
"[Hotels & Travel, Airports]",Phoenix,1512
"[Hotels & Travel, Resorts, Event Planning & Services, Venues & Event Spaces, Hotels]",Las Vegas,1507
"[Beauty & Spas, Resorts, Event Planning & Services, Hotels & Travel, Day Spas, Hotels]",Las Vegas,1469
"[Italian, Pizza, Sandwiches, Restaurants]",Phoenix,1453
"[Hotels & Travel, Arts & Entertainment, Casinos, Event Planning & Services, Hotels]",Las Vegas,1436
"[Buffets, Restaurants]",Henderson,1428
"[Arts & Entertainment, Resorts, Casinos, Event Planning & Services, Hotels & Travel, Hotels]",Las Vegas,1428
"[Buffets, Restaurants]",Las Vegas,1424
"[Arts & Entertainment, Performing Arts]",Las Vegas,1397
"[Bars, American (Traditional), Breakfast & Brunch, Nightlife, Lounges, Restaurants]",Las Vegas,1394
"[Arts & Entertainment, Resorts, Casinos, Event Planning & Services, Hotels & Travel, Hotels]",Las Vegas,1368
"[Tapas/Small Plates, Tapas Bars, Restaurants]",Las Vegas,1352
"[Hotels & Travel, Arts & Entertainment, Casinos, Event Planning & Services, Hotels]",Las Vegas,1336
"[Ramen, Japanese, Restaurants]",Las Vegas,1323
"[Event Planning & Services, Venues & Event Spaces, Nightlife]",Las Vegas,1295
"[Hotels & Travel, Arts & Entertainment, Casinos, Event Planning & Services, Hotels]",Las Vegas,1282
"[Hotels & Travel, Arts & Entertainment, Casinos, Event Planning & Services, Hotels]",Las Vegas,1270
"[Bars, Asian Fusion, Nightlife, Restaurants]",Las Vegas,1264
"[Bars, Food, Breweries, Pubs, Nightlife, American (New), Restaurants]",Tempe,1241
"[Arts & Entertainment, American (Traditional), Food, Breweries, Casinos, Restaurants]",Las Vegas,1229
"[Mexican, Restaurants]",Las Vegas,1223
"[Arts & Entertainment, Resorts, Casinos, Event Planning & Services, Hotels & Travel, Hotels]",Las Vegas,1211
"[Italian, Pizza, Sandwiches, Restaurants]",Phoenix,1202
"[Buffets, Restaurants]",Las Vegas,1176
"[Arts & Entertainment, Resorts, Casinos, Event Planning & Services, Hotels & Travel, Hotels]",Las Vegas,1172
"[Buffets, Restaurants]",Las Vegas,1163
"[Seafood, American (Traditional), Cajun/Creole, Restaurants]",Las Vegas,1142
"[Japanese, Restaurants]",Las Vegas,1126
"[Buffets, Restaurants]",Las Vegas,1125
"[Bars, Mediterranean, Nightlife, Restaurants]",Las Vegas,1124
"[Bars, Mediterranean, Nightlife, Lounges, American (New), Restaurants]",Phoenix,1117
"[Hotels & Travel, Arts & Entertainment, Casinos, Event Planning & Services, Hotels]",Las Vegas,1106
"[Hotels & Travel, Event Planning & Services, Hotels]",Las Vegas,1086
"[Arts & Entertainment, Resorts, Casinos, Event Planning & Services, Hotels & Travel, Hotels]",Las Vegas,1080
"[Arts & Entertainment, Performing Arts]",Las Vegas,1071
"[Bars, Dance Clubs, Nightlife, Lounges, Italian, Restaurants]",Las Vegas,1069
"[Breakfast & Brunch, Sandwiches, Restaurants]",Las Vegas,1065
"[Nightlife, Seafood, Bars, Restaurants]",Las Vegas,1063
"[Hotels & Travel, Arts & Entertainment, Casinos, Event Planning & Services, Hotels]",Las Vegas,1055
"[Pubs, Bars, Nightlife]",Las Vegas,1052
"[Steakhouses, Restaurants]",Las Vegas,1037
"[Pubs, Bars, Nightlife, British, Restaurants]",Tempe,1033
"[Seafood, Steakhouses, Restaurants]",Las Vegas,1023
"[Burgers, Breakfast & Brunch, Sandwiches, Restaurants]",Las Vegas,1022
"[Sushi Bars, Restaurants]",Las Vegas,1013
"[Sushi Bars, Japanese, Restaurants]",Las Vegas,1000
"[Bars, Breakfast & Brunch, Wine Bars, Nightlife, Italian, Restaurants]",Phoenix,995
"[Food, Desserts, Specialty Food, Chocolatiers & Shops]",Las Vegas,994
"[Tapas Bars, Spanish, Restaurants]",Las Vegas,990
"[Hotels & Travel, Arts & Entertainment, Casinos, Event Planning & Services, Hotels]",Las Vegas,989
"[Arts & Entertainment, Performing Arts]",Las Vegas,989
"[Nightlife, Dance Clubs]",Las Vegas,985
"[Hotels & Travel, Airports]",Charlotte,983
"[Beauty & Spas, Resorts, Event Planning & Services, Hotels & Travel, Day Spas, Hotels]",Las Vegas,971
"[Coffee & Tea, Food, Bars, Nightlife, American (New), Restaurants]",Phoenix,956
"[Adult Entertainment, Nightlife]",Las Vegas,945
"[Hotels & Travel, Arts & Entertainment, Casinos, Event Planning & Services, Hotels]",Las Vegas,938
"[Bars, French, Nightlife, Lounges, American (New), Restaurants]",Las Vegas,933
"[Bars, Food, Beer, Wine & Spirits, Nightlife, Gastropubs, Restaurants]",Las Vegas,929
"[Sandwiches, Bars, Mexican, Nightlife, Restaurants]",Phoenix,924
"[Burgers, Restaurants]",Las Vegas,908
"[Bars, Latin American, Mexican, Nightlife, Restaurants]",Scottsdale,908
"[Korean, Asian Fusion, Mexican, Restaurants]",Las Vegas,902
"[Arts & Entertainment, Performing Arts]",Las Vegas,900
"[Lounges, Bars, Nightlife, Dance Clubs]",Las Vegas,900
"[Asian Fusion, Restaurants]",Las Vegas,892
"[Steakhouses, French, Restaurants]",Las Vegas,888
"[Gastropubs, American (New), Salad, Restaurants]",Scottsdale,886
"[Steakhouses, Restaurants]",Las Vegas,885
"[Steakhouses, Restaurants, Gluten-Free, Brazilian]",Las Vegas,885
"[American (New), Barbeque, Restaurants]",Phoenix,878
"[American (Traditional), Pizza, Salad, Restaurants]",Gilbert,873
"[Hotels & Travel, Arts & Entertainment, Casinos, Event Planning & Services, Hotels]",Las Vegas,872
"[Steakhouses, Restaurants, Italian]",Las Vegas,861
"[Hotels & Travel, Arts & Entertainment, Casinos, Event Planning & Services, Hotels]",Las Vegas,858
"[Bars, American (New), Nightlife, Restaurants]",Las Vegas,851
"[Hotels & Travel, Event Planning & Services, Hotels]",Las Vegas,850
"[Hotels & Travel, Arts & Entertainment, Casinos, Event Planning & Services, Hotels]",Las Vegas,850
"[American (New), Restaurants]",Phoenix,847
"[German, Bars, Nightlife, Restaurants]",Las Vegas,846
"[Food, Ethnic Food, Specialty Food, Delis, Sandwiches, Restaurants]",Montr�al,835
"[Mexican, Chinese, Restaurants]",Las Vegas,835
"[Arts & Entertainment, Street Art, Performing Arts, Public Services & Government, Landmarks & Historical Buildings]",Las Vegas,827
"[Bakeries, Food, Specialty Food, Desserts, Chocolatiers & Shops, Restaurants]",Las Vegas,825
"[Bars, Steakhouses, Nightlife, Lounges, Restaurants]",Las Vegas,820
"[Arts & Entertainment, Performing Arts]",Las Vegas,819
"[Bars, American (Traditional), Nightlife, Restaurants]",Las Vegas,818
"[Soul Food, Southern, Restaurants]",Phoenix,814
"[Burgers, Soul Food, Barbeque, Restaurants]",Las Vegas,811
"[Arts & Entertainment, Beauty & Spas, Casinos, Event Planning & Services, Hotels & Travel, Day Spas, Hotels]",Las Vegas,811
"[Breakfast & Brunch, American (New), Restaurants]",Las Vegas,805
"[Casinos, Bars, Arts & Entertainment, Nightlife]",Las Vegas,804
"[Tapas/Small Plates, Breakfast & Brunch, Mexican, Restaurants]",Las Vegas,795
"[Tapas/Small Plates, Restaurants]",Las Vegas,792
"[Japanese, Restaurants]",Las Vegas,791
"[Hotels & Travel, Arts & Entertainment, Casinos, Event Planning & Services, Hotels]",Las Vegas,780
"[Hotels & Travel, Arts & Entertainment, Casinos, Event Planning & Services, Hotels]",Las Vegas,772
"[Casinos, Arts & Entertainment, American (Traditional), American (New), Restaurants]",Las Vegas,770
"[Breakfast & Brunch, American (New), Mediterranean, Restaurants]",Scottsdale,770
"[Food, Desserts, Candy Stores, Specialty Food]",Las Vegas,769
"[Burgers, Sushi Bars, Asian Fusion, Restaurants]",Charlotte,762
"[Cheesesteaks, Steakhouses, Restaurants]",Las Vegas,756
"[Sushi Bars, Japanese, Restaurants]",Las Vegas,751
"[Italian, Pizza, Sandwiches, Restaurants]",Phoenix,750
"[Fast Food, Hot Dogs, Restaurants]",Las Vegas,750
"[Breakfast & Brunch, American (Traditional), Restaurants]",Las Vegas,746
"[Arts & Entertainment, Resorts, Casinos, Event Planning & Services, Hotels & Travel, Hotels]",Las Vegas,745
"[Arts & Entertainment, American (New), Nightlife, Music Venues, Restaurants]",Scottsdale,744
"[Breakfast & Brunch, Bars, American (New), Nightlife, Restaurants]",Las Vegas,744
"[Szechuan, Asian Fusion, Mexican, Chinese, Restaurants]",Phoenix,741
"[Food, Desserts, American (Traditional), Restaurants]",Las Vegas,739
"[Food, Desserts, Coffee & Tea, Cafes, Restaurants]",Las Vegas,738
"[Breakfast & Brunch, American (Traditional), Restaurants]",Phoenix,736
"[Sushi Bars, Restaurants]",Las Vegas,735
"[Seafood, Steakhouses, Restaurants]",Las Vegas,732
"[Breakfast & Brunch, Restaurants]",Phoenix,730
"[American (Traditional), American (New), Buffets, Restaurants]",Las Vegas,729
"[Arts & Entertainment, Casinos, Event Planning & Services, Hotels & Travel, Hotels, Restaurants]",Las Vegas,729
"[American (New), Restaurants]",Las Vegas,728
"[Vegetarian, Bars, American (New), Nightlife, Restaurants]",Las Vegas,725
"[American (Traditional), Restaurants]",Madison,723
"[Arts & Entertainment, Performing Arts]",Las Vegas,721
