name,city,categories,longitude,latitude,review_count
Chianti Cafe,Las Vegas,"[Wine Bars, Bars, Restaurants, Nightlife, Italian]",-115.3043961,36.1924136,9
Rigos Taco,North Las Vegas,"[Mexican, Restaurants]",-115.107916,36.209644,10
Carl's Jr Restaurants,North Las Vegas,"[Burgers, Fast Food, Restaurants]",-115.121018,36.1962,4
McDonald's,North Las Vegas,"[Burgers, Fast Food, Restaurants]",-115.126973,36.219109,3
Kfc,North Las Vegas,"[Fast Food, Restaurants]",-115.1190405,36.1955355,4
Jack In the Box 7250,North Las Vegas,"[American (New), Restaurants]",-115.125484,36.218527,3
Sonic Drive-In,North Las Vegas,"[American (Traditional), Fast Food, Restaurants]",-115.120023,36.240289,23
Burger King,North Las Vegas,"[Fast Food, Restaurants]",-115.095269,36.239906,5
Jack In the Box,North Las Vegas,"[Fast Food, Restaurants]",-115.095917,36.239895,6
Viva Zapatas Mexican Restaurant & Cantina,North Las Vegas,"[Nightlife, Bars, Mexican, Sports Bars, Restaurants]",-115.0961525,36.2407047,263
Tortas El Rey,North Las Vegas,"[Fast Food, Mexican, Restaurants]",-115.1176258,36.1959253,9
Uss Fish N Chips,North Las Vegas,"[Fish & Chips, Restaurants]",-115.0925723,36.2186108,13
Arby's Roast Beef Sandwich Restaurants,North Las Vegas,"[American (New), Restaurants]",-115.124604,36.196081,3
Wendy's,N Las Vegas,"[Burgers, Restaurants]",-115.122149,36.1961399,3
Denny's Restaurant,North Las Vegas,"[American (Traditional), Diners, Restaurants]",-115.1271645,36.2176891,16
German-American Social Club of Nevada,North Las Vegas,"[German, Arts & Entertainment, Restaurants, Social Clubs]",-115.126747,36.196154,4
Las Islitas Mariscos,North Las Vegas,"[Seafood, Mexican, Restaurants]",-115.1170761,36.2044134,89
Hamburger Hut 'N' Market,North Las Vegas,"[Burgers, Restaurants]",-115.1160736,36.21800613,60
Baja Fresh,North Las Vegas,"[Mexican, Restaurants]",-115.1926526,36.19852107,3
Pizza Hut,North Las Vegas,"[Pizza, Restaurants]",-115.162672,36.230724,5
Arby's Roast Beef Sandwich Restaurants,North Las Vegas,[Restaurants],-115.161504,36.2383,5
Capriotti's Sandwich Shop,North Las Vegas,"[Sandwiches, Restaurants]",-115.1594806,36.23751354,48
Que Mas Mexican Cafe,North Las Vegas,"[Mexican, Restaurants]",-115.160812,36.237893,57
Kfc,North Las Vegas,"[Fast Food, Chicken Wings, Restaurants]",-115.15999,36.2397894,5
Chai Tip's Thai and Chinese,North Las Vegas,"[Chinese, Restaurants]",-115.1621298,36.2308628,16
Fatburger,Las Vegas,"[Burgers, American (Traditional), Fast Food, Restaurants]",-115.191711,36.197365,13
Papa John's Pizza,North Las Vegas,"[Pizza, Restaurants]",-115.2021027,36.23931885,8
Del Taco,North Las Vegas,"[Mexican, Restaurants]",-115.167889,36.238918,7
Port of Subs,North Las Vegas,"[Sandwiches, Restaurants]",-115.1592072,36.2409489,5
Town Center Lounge II,North Las Vegas,"[Arts & Entertainment, Bars, Casinos, Nightlife, American (New), Sports Bars, Restaurants]",-115.1804956,36.2179775,8
Outback Steakhouse,N. Las Vegas,"[Steakhouses, Restaurants]",-115.1776202,36.2391844,52
Sbarro,North Las Vegas,"[Restaurants, Italian]",-115.1930006,36.19832048,4
McDonald's,North Las Vegas,"[Burgers, Fast Food, Restaurants]",-115.160622,36.239889,11
Grand China,North Las Vegas,"[Chinese, Restaurants]",-115.20219,36.239393,6
Sundance Kid Cafe,North Las Vegas,"[Cafes, Restaurants]",-115.1993719,36.2388776,10
Applebee's,North Las Vegas,"[Bars, American (Traditional), Burgers, Nightlife, Sports Bars, Restaurants]",-115.1652561,36.2390369,38
Domino's Pizza,North Las Vegas,"[Sandwiches, Pizza, Chicken Wings, Restaurants]",-115.180341,36.196924,6
Pizza Hut,Las Vegas,"[Pizza, Restaurants]",-115.125401,36.17311,3
Fado Irish Pub,Las Vegas,"[Pubs, Bars, Nightlife, Irish, Restaurants]",-115.1186131,36.0174194,21
Cafe Noodle & Chinese Barbeque,Las Vegas,"[Chinese, Restaurants]",-115.197904,36.125908,155
Pho Kim Long,Las Vegas,"[Vietnamese, Chinese, Restaurants]",-115.193971,36.126177,1514
"Oiga, Mire, Vea Colombian Cuisine",Las Vegas,"[Latin American, Restaurants]",-115.207747,36.142935,48
Courtyard Deli,Las Vegas,"[Delis, Italian, Sandwiches, Restaurants]",-115.187809,36.145672,3
Subway,Las Vegas,"[Fast Food, Sandwiches, Restaurants]",-115.206002,36.130335,5
Pho Vietnam Restaurant,Las Vegas,"[Vietnamese, Restaurants]",-115.1969938,36.1263784,65
Einstein Bros,Las Vegas,"[Sandwiches, Restaurants]",-115.2080092,36.1430045,32
Sesame House,Las Vegas,"[Chinese, Food, Specialty Food, Juice Bars & Smoothies, Sandwiches, Fruits & Veggies, Restaurants]",-115.197655,36.1263667,5
China Joe's,Las Vegas,"[Chinese, Restaurants]",-115.1908392,36.1445245,7
Las Pupusas Restaurant,Las Vegas,"[Latin American, Mexican, Restaurants]",-115.1924057,36.13191223,40
Romano's Macaroni Grill,Las Vegas,"[Restaurants, Italian]",-115.1747246,36.1444845,72
Landry's Seafood,Las Vegas,"[Seafood, Restaurants]",-115.175625,36.144997,130
Pho So 1,Las Vegas,"[Vietnamese, Restaurants]",-115.2062973,36.1262669,589
Pho Nhu  Y,Las Vegas,"[Vietnamese, Restaurants]",-115.197904,36.125908,7
Tofu Hut,Las Vegas,"[Korean, Barbeque, Restaurants]",-115.1934267,36.12648882,346
Tacos El Burrito Loco,Las Vegas,"[Mexican, Restaurants]",-115.1905468,36.1463479,8
Dotty's #7,Las Vegas,[Restaurants],-115.2098129,36.1486584,3
PT's,Las Vegas,"[Bars, Pubs, Nightlife, American (New), Sports Bars, Restaurants]",-115.1892,36.1472,12
Samosa Factory,Las Vegas,"[Vegetarian, Indian, Vegan, Restaurants]",-115.20472,36.145118,148
Lone Star Steakhouse & Saloon,Las Vegas,"[Steakhouses, Restaurants]",-115.207382,36.153466,3
Rice To-Go,Las Vegas,"[Chinese, Restaurants]",-115.206888,36.126543,10
Wienerschnitzel,Las Vegas,"[Fast Food, Restaurants]",-115.194408,36.14402,3
Shilla Korean BBQ,Las Vegas,"[Korean, Barbeque, Restaurants]",-115.178936,36.1438599,45
Hawaiian Hale,Las Vegas,"[Hawaiian, Restaurants]",-115.1907265,36.1457714,17
Kfc,Las Vegas,"[Fast Food, Restaurants]",-115.200935,36.1447963,5
Pizza Hut,Las Vegas,"[Pizza, Restaurants]",-115.184269,36.14397437,14
Jimmy John's,Las Vegas,"[Delis, Sandwiches, Restaurants]",-115.1721079,36.1590906,47
Aloha Kitchen & Bar,Las Vegas,"[Nightlife, Bars, Karaoke, Hawaiian, Restaurants]",-115.2084303,36.1423109,257
The Triple Play,Las Vegas,"[Burgers, Cheesesteaks, American (Traditional), Restaurants]",-115.2087708,36.15102768,34
Chinatown Express Restaurant,Las Vegas,"[Chinese, Restaurants]",-115.1970765,36.12633057,8
Red Robin,Las Vegas,"[American (Traditional), Restaurants]",-115.208505,36.143114,6
Church's Chicken,Las Vegas,"[Fast Food, Chicken Wings, Restaurants]",-115.2076648,36.1264833,20
Tacos Mexico,Las Vegas,"[Mexican, Restaurants]",-115.191245,36.144737,59
Epoy's Filipino Fast Food,Las Vegas,"[Buffets, Filipino, Restaurants]",-115.198702,36.144051,5
India Oven,Las Vegas,"[Pakistani, Indian, Restaurants]",-115.1551759,36.1446996,78
Nozomi Japanese Restaurant,Las Vegas,"[Sushi Bars, Buffets, Japanese, Restaurants]",-115.1719898,36.15972815,35
Coffee Pub,Las Vegas,"[Food, Sandwiches, Coffee & Tea, Breakfast & Brunch, Restaurants]",-115.179144,36.145534,138
The Broiler,Las Vegas,"[Seafood, Steakhouses, Restaurants]",-115.1744492,36.1441893,28
Ichiza,Las Vegas,"[Japanese, Restaurants]",-115.1979065,36.1259079,1126
Gianna's Pizza,Las Vegas,"[Pizza, Restaurants]",-115.190277,36.145733,24
Boomer's Bar,Las Vegas,"[Bars, American (Traditional), Music Venues, Arts & Entertainment, Dive Bars, Nightlife, Restaurants]",-115.1835685,36.1339943,16
Sam Woo BBQ Restaurant,Las Vegas,"[Barbeque, Chinese, Restaurants]",-115.1969938,36.1263784,310
Wendy's,Las Vegas,"[Burgers, Fast Food, Restaurants]",-115.165013,36.158457,6
Sushi House Manda,Las Vegas,"[Japanese, Restaurants]",-115.2965319,36.102015,4
Korean Garden BBQ House,Las Vegas,"[Korean, Barbeque, Restaurants]",-115.197904,36.125908,142
Golden Steer,Las Vegas,"[Steakhouses, Restaurants]",-115.1611434,36.1440928,304
Carl's Jr,Las Vegas,"[Burgers, Fast Food, Restaurants]",-115.1619706,36.1592159,13
Omelet House,Las Vegas,"[Breakfast & Brunch, American (Traditional), Restaurants]",-115.1711308,36.1590433,445
Adar Kosher Pizza Restaurant,Las Vegas,"[Kosher, Pizza, Restaurants]",-115.1610842,36.1438391,14
Capriotti's Sandwich Shop,Las Vegas,"[Sandwiches, Restaurants]",-115.1614606,36.1441292,236
Montesano's Italian Deli,Las Vegas,"[Delis, Italian, Restaurants]",-115.1875972,36.1443115,4
Panda Express,Las Vegas,"[Fast Food, Chinese, Restaurants]",-115.2041571,36.1447295,10
Habib's Persian Cuisine,Las Vegas,"[Persian/Iranian, Middle Eastern, Restaurants]",-115.208505,36.143114,52
Food Express Chinese Restaurant,Las Vegas,"[Chinese, Restaurants]",-115.2076644,36.1497263,125
China Star,Las Vegas,"[Chinese, Restaurants]",-115.2026403,36.1590061,27
El Pollo Loco,Las Vegas,"[Fast Food, Mexican, Restaurants]",-115.2076154,36.1450429,24
Best Burger,Las Vegas,"[Burgers, Restaurants]",-115.2026919,36.1445909,3
Don Tortaco's,Las Vegas,"[Fast Food, Mexican, Restaurants]",-115.2026919,36.1445909,22
Chili's Grill & Bar,Las Vegas,"[American (Traditional), Tex-Mex, Restaurants]",-115.206941,36.143476,5
Island Style,Las Vegas,"[Korean, Asian Fusion, Hawaiian, Restaurants]",-115.1938661,36.1440209,467
Chapala's Mexican Restaurant,Las Vegas,"[Mexican, Restaurants]",-115.2098129,36.1486584,18
El Steak Burrito,Las Vegas,"[Latin American, Mexican, Restaurants]",-115.203735,36.1263007,10
Diamond China Restaurant,Las Vegas,"[Chinese, Restaurants]",-115.193618,36.144017,34
Royal Thai Restaurant,Las Vegas,"[Thai, Restaurants]",-115.193147,36.144013,11
Cafe Verdi,Las Vegas,"[Restaurants, Pizza, Italian]",-115.1916549,36.132369,44
Osaka Japanese Bistro,Las Vegas,"[Sushi Bars, Japanese, Restaurants]",-115.1972121,36.1443404,190
Jimmy John's Gourmet Sandwiches,Las Vegas,"[Sandwiches, Restaurants]",-115.2080383,36.1439467,18
Chopstix Express,Las Vegas,"[Chinese, Restaurants]",-115.208553,36.142482,24
Skinny Dugans,Las Vegas,"[Bars, American (New), Nightlife, Lounges, Restaurants]",-115.1968362,36.15886145,22
Blueberry Hill Family Restaurant,Las Vegas,"[Breakfast & Brunch, Diners, Restaurants]",-115.2072046,36.1564508,195
Jack in the Box,Las Vegas,"[Fast Food, Restaurants]",-115.2076281,36.1458129,10
Taco Bell,Las Vegas,"[Fast Food, Restaurants]",-115.205348,36.158728,3
Macayo Vegas,Las Vegas,"[Mexican, Restaurants]",-115.2003983,36.1589913,23
Baja Fresh Las Vegas,Las Vegas,"[Mexican, Restaurants]",-115.2046243,36.1446162,11
TGI Friday's,Las Vegas,"[Bars, Wine Bars, Burgers, Nightlife, American (New), Restaurants]",-115.2026045,36.144807,62
Emperor's Garden,Las Vegas,"[Chinese, Restaurants]",-115.1969938,36.1263784,96
Joyful House Chinese Cuisine,Las Vegas,"[Seafood, Chinese, Restaurants]",-115.2034239,36.1258338,309
Tea Station,Las Vegas,"[Food, Coffee & Tea, Taiwanese, Restaurants]",-115.1976,36.125964,487
Subway,Las Vegas,"[Fast Food, Sandwiches, Restaurants]",-115.067454,36.158728,3
