name,city,categories,longitude,latitude,review_count
Viva Zapatas Mexican Restaurant & Cantina,North Las Vegas,"[Nightlife, Bars, Mexican, Sports Bars, Restaurants]",-115.0961525,36.2407047,263
Las Islitas Mariscos,North Las Vegas,"[Seafood, Mexican, Restaurants]",-115.1170761,36.2044134,89
Hamburger Hut 'N' Market,North Las Vegas,"[Burgers, Restaurants]",-115.1160736,36.21800613,60
Capriotti's Sandwich Shop,North Las Vegas,"[Sandwiches, Restaurants]",-115.1594806,36.23751354,48
Que Mas Mexican Cafe,North Las Vegas,"[Mexican, Restaurants]",-115.160812,36.237893,57
Outback Steakhouse,N. Las Vegas,"[Steakhouses, Restaurants]",-115.1776202,36.2391844,52
Applebee's,North Las Vegas,"[Bars, American (Traditional), Burgers, Nightlife, Sports Bars, Restaurants]",-115.1652561,36.2390369,38
Cafe Noodle & Chinese Barbeque,Las Vegas,"[Chinese, Restaurants]",-115.197904,36.125908,155
Pho Kim Long,Las Vegas,"[Vietnamese, Chinese, Restaurants]",-115.193971,36.126177,1514
"Oiga, Mire, Vea Colombian Cuisine",Las Vegas,"[Latin American, Restaurants]",-115.207747,36.142935,48
Pho Vietnam Restaurant,Las Vegas,"[Vietnamese, Restaurants]",-115.1969938,36.1263784,65
Einstein Bros,Las Vegas,"[Sandwiches, Restaurants]",-115.2080092,36.1430045,32
Las Pupusas Restaurant,Las Vegas,"[Latin American, Mexican, Restaurants]",-115.1924057,36.13191223,40
Romano's Macaroni Grill,Las Vegas,"[Restaurants, Italian]",-115.1747246,36.1444845,72
Landry's Seafood,Las Vegas,"[Seafood, Restaurants]",-115.175625,36.144997,130
Pho So 1,Las Vegas,"[Vietnamese, Restaurants]",-115.2062973,36.1262669,589
Tofu Hut,Las Vegas,"[Korean, Barbeque, Restaurants]",-115.1934267,36.12648882,346
Samosa Factory,Las Vegas,"[Vegetarian, Indian, Vegan, Restaurants]",-115.20472,36.145118,148
Shilla Korean BBQ,Las Vegas,"[Korean, Barbeque, Restaurants]",-115.178936,36.1438599,45
Jimmy John's,Las Vegas,"[Delis, Sandwiches, Restaurants]",-115.1721079,36.1590906,47
Aloha Kitchen & Bar,Las Vegas,"[Nightlife, Bars, Karaoke, Hawaiian, Restaurants]",-115.2084303,36.1423109,257
The Triple Play,Las Vegas,"[Burgers, Cheesesteaks, American (Traditional), Restaurants]",-115.2087708,36.15102768,34
Tacos Mexico,Las Vegas,"[Mexican, Restaurants]",-115.191245,36.144737,59
India Oven,Las Vegas,"[Pakistani, Indian, Restaurants]",-115.1551759,36.1446996,78
Nozomi Japanese Restaurant,Las Vegas,"[Sushi Bars, Buffets, Japanese, Restaurants]",-115.1719898,36.15972815,35
Coffee Pub,Las Vegas,"[Food, Sandwiches, Coffee & Tea, Breakfast & Brunch, Restaurants]",-115.179144,36.145534,138
The Broiler,Las Vegas,"[Seafood, Steakhouses, Restaurants]",-115.1744492,36.1441893,28
Ichiza,Las Vegas,"[Japanese, Restaurants]",-115.1979065,36.1259079,1126
Sam Woo BBQ Restaurant,Las Vegas,"[Barbeque, Chinese, Restaurants]",-115.1969938,36.1263784,310
Korean Garden BBQ House,Las Vegas,"[Korean, Barbeque, Restaurants]",-115.197904,36.125908,142
Golden Steer,Las Vegas,"[Steakhouses, Restaurants]",-115.1611434,36.1440928,304
Omelet House,Las Vegas,"[Breakfast & Brunch, American (Traditional), Restaurants]",-115.1711308,36.1590433,445
Capriotti's Sandwich Shop,Las Vegas,"[Sandwiches, Restaurants]",-115.1614606,36.1441292,236
Habib's Persian Cuisine,Las Vegas,"[Persian/Iranian, Middle Eastern, Restaurants]",-115.208505,36.143114,52
Food Express Chinese Restaurant,Las Vegas,"[Chinese, Restaurants]",-115.2076644,36.1497263,125
China Star,Las Vegas,"[Chinese, Restaurants]",-115.2026403,36.1590061,27
Island Style,Las Vegas,"[Korean, Asian Fusion, Hawaiian, Restaurants]",-115.1938661,36.1440209,467
Diamond China Restaurant,Las Vegas,"[Chinese, Restaurants]",-115.193618,36.144017,34
Cafe Verdi,Las Vegas,"[Restaurants, Pizza, Italian]",-115.1916549,36.132369,44
Osaka Japanese Bistro,Las Vegas,"[Sushi Bars, Japanese, Restaurants]",-115.1972121,36.1443404,190
Blueberry Hill Family Restaurant,Las Vegas,"[Breakfast & Brunch, Diners, Restaurants]",-115.2072046,36.1564508,195
TGI Friday's,Las Vegas,"[Bars, Wine Bars, Burgers, Nightlife, American (New), Restaurants]",-115.2026045,36.144807,62
Emperor's Garden,Las Vegas,"[Chinese, Restaurants]",-115.1969938,36.1263784,96
Joyful House Chinese Cuisine,Las Vegas,"[Seafood, Chinese, Restaurants]",-115.2034239,36.1258338,309
Tea Station,Las Vegas,"[Food, Coffee & Tea, Taiwanese, Restaurants]",-115.1976,36.125964,487
Buffet At the Stratosphere,Las Vegas,"[Buffets, Restaurants]",-115.155365,36.147371,81
Roxy's Diner,Las Vegas,"[Diners, Restaurants]",-115.1552059,36.14770952,159
Denny's,Las Vegas,"[American (New), Diners, Restaurants]",-115.1538735,36.1493938,28
Boston Pizza,Las Vegas,"[Pizza, Restaurants]",-115.1509664,36.1530812,85
Florida Cafe Cuban Bar & Grill,Las Vegas,"[Nightlife, Cuban, Bars, Restaurants]",-115.149618,36.155323,158
Ocha Cuisine,Las Vegas,"[Thai, Chinese, Restaurants]",-115.148335,36.156773,119
Rincon Criollo,Las Vegas,"[Cuban, Restaurants]",-115.1483131,36.157345,68
Italian American Club Restaurant,Las Vegas,"[Restaurants, Italian]",-115.1163131,36.1455103,38
Los Tacos,Las Vegas,"[Mexican, Restaurants]",-115.1275613,36.1584563,155
Cafe Heidelberg German Market & Restaurant,Las Vegas,"[German, Delis, Restaurants]",-115.1464168,36.1439863,41
Komol Restaurant,Las Vegas,"[Vegetarian, Thai, Vegan, Restaurants]",-115.1425263,36.14252394,468
Tokyo Japanese Restaurant,Las Vegas,"[Sushi Bars, Japanese, Restaurants]",-115.1405587,36.1429063,131
Pinoy Pinay Filipino Restaurant,Las Vegas,"[Filipino, Restaurants]",-115.1365689,36.144149,97
Broadway Pizzeria,Las Vegas,"[Italian, Pizza, Restaurants]",-115.1732582,36.161671,143
Mario's Westside Market,Las Vegas,"[Food, Soul Food, Grocery, Restaurants]",-115.1606906,36.1948837,36
Buffet @ Asia,Las Vegas,"[Buffets, Japanese, Chinese, Restaurants]",-115.1185532,36.01045227,150
Thai Grill,Las Vegas,"[Food, Food Delivery Services, Thai, Restaurants]",-115.2061228,36.1941506,77
Pin Kaow Thai Restaurant,Las Vegas,"[Thai, Restaurants]",-115.241323,36.195393,288
