user_id,elite,review_date,review_stars,business_stars,business_id,name,longitude,latitude,categories,review,tips,review_count
--0mI_q_0D1CdU4P_hoImQ,[],9/21/2013,5,4.5,xxOQ7h6s3InV8o8DOVHlMA,Island Style,-115.1938661,36.1440209,"[Korean, Asian Fusion, Hawaiian, Restaurants]",Food was perfect and came out quick. Delicious kalbi-  added a side of spam and they made it extra crispy for me! Love this place- our new favorite!!!,Get the meat combo- fantastic and filling!,467
#NAME?,[],12/18/2014,1,3.5,O24JqSyuDtNr1AFQDzWnWA,Shalimar Restaurant,-115.2085076,36.11731625,"[Indian, Vegetarian, Pakistani, Restaurants]","Pathetic service, smelly restaurant, bland food which is not even half its price. Food was stale and totally different dishes had same curry in them. Microwaved bread.","Pathetic service, smelly restaurant, bland food which is not even half its price",54
-03vvla3SZGX_DOusubxWQ,[],2/3/2014,3,3,IonLYduw8wMSDrJvyl8b5w,Max's Restaurant,-115.136639,36.114859,"[Filipino, Restaurants]",overall this place gets 3 stars due to the lack of customer service but great ass Filipino food in Vegas !,don't expect to have the best customer service ... My bf says it's like the Philippines but the food is great that it doesn't really matter,174
-2OWhxjHGfjArURE6ABhJQ,[],8/8/2014,5,4,kjNQIbcVxCcZJFpTUYvE9w,Waffles Cafe,-115.2877003,36.2777245,"[Food, Coffee & Tea, Breakfast & Brunch, Restaurants]","Love it, best waffles ever! I have to stop there at least 3X a week. A great place, nice atmosphere.  I had lunch with a client at their establishment one week ago, a perfect lunch.","Love it, best waffles ever! I have to stop there at least 3X a week.......",140
-2PFmYGWB6rQhZtRh6PlPA,[],12/3/2013,3,2,AOCSNRE0-tF18BOPsiWkLg,Cafe at Harrah's,-115.169667,36.11949,"[Breakfast & Brunch, American (Traditional), Restaurants]","I got the eggs benedict (of course! I get them everywhere). They were really good. The eggs were done perfectly, the Canadian bacon wasn't overcooked and was a thick slice, and they put just enough sauce. The hashbrowns weren't bad, but were a little mushy.Service is the reason for not getting 4 stars. Phuong was my server and kept calling me lady, I hate that. It took her a while to get to the table, she was hiding out in  the back since they weren't busy when I got here. In total I think she came to the table like 3 times.",Having a players card will take a couple bucks off.,78
-2PFmYGWB6rQhZtRh6PlPA,[],12/5/2013,2,3,SLyacGZuMUKqrQJEooSkjw,Spice Market Buffet,-115.1716661,36.11025031,"[Buffets, Restaurants]",The food is pretty decent here but the employees are what makes the place suck.  Mona was the cashier and was rude and arguementative. Marjorie was the seater and was nice and pleasant. Genet was our server. I only got her name because I read it off her nametag. She only said on thing to us and that was to ask which wine we wanted because Marjorie didn't mind if we had one. She coulda said it better and without attitude. The busser took our plates and we were never offered for our drinks to be refilled.  This is becoming a buffet that I may plan on skipping in future trips.,Keept the buffet receipt incase you encounter stupid people behind the register,1163
-3TxtJo7vjXYM3ROugCO_Q,[],9/8/2013,4,4,WbgDscs1H4kXOZdoDs2aow,Jun's Korean Restaurant,-115.1465576,36.2389613,"[Korean, Restaurants]","Small restaurant, clean bathrooms. Kalbi was yummy so was the banchan cucumber, kim chee, tofu and bean sprouts. They also serve hawaiian poke I was worried when I saw the color of the tuna but it turned out pretty good. The only thing that stumped me was the side salad. The salad was really crisp and fresh but no dressing. We never have left over kalbi but this time we did. So it was an order of 4 kalbi dinners, 1 order of hawaiian poke and 4 sodas total was $61 by far the cheapest we have paid for Korean BBQ. Service was fast and friendly.",Yum yum n yum,88
-3cg8DHQh4-T3_c0q-ePcQ,[],4/13/2014,4,4,7mCfOift6h53OF0kQlUXUg,Ito'y Sariling Atin,-115.1370594,36.14303557,"[Filipino, Restaurants]","Best filipino fast food I've eaten in Vegas.Buffet style setup where you see the food that's already cooked and ready to be served. Customer service is good with a busboy who is very friendly & always cleaning. The biggest downfall is that filipino food is that it's not that healthy for you. Eat responsibly lolTry the Tocino, Fried Pork & anything that they serve. It's as filipino tasting as it gets!",Pace yourself when eating!,71
-3cg8DHQh4-T3_c0q-ePcQ,[],4/14/2014,2,4,sIyHTizqAiGu12XMLX3N3g,Bacchanal Buffet,-115.1761744,36.11585434,"[Buffets, Restaurants]","Regardless of what the food will taste like. I paid $15 extra per person for a party of 3 to skip the line & currently waiting in a line. That's $45 that I'll never get back. Here's a tip, just wait in line next time & don't waste money on the expedited line charge. It will save you time compared to waiting, but was it worth $15 extra. Absolutely not.I'll do a follow up review for food up next.Just sat down. First off, customer service is excellent without a doubt. Keep in mind, I'm not paying the $30 price for this buffet, more like $45, so my expectations were already heightened. The food is good, along with the variety, but freshness was lacking. Their Seabass dish wasn't tender & really tasted old, but still tasted good, but not as fresh(as in cooked) as it could be. The best tasting thing was their truffled potatoes. Lots of desert options which also another plus!The food is more like a $20 range buffet & not even close to the $45 that I paid. I came here because ""USA Today"" rated it as the best Buffet. Now I don't think I'll trust USA Today anymore",Come early or wait times will be a minimum of an hour on peak lunch hours.,3046
-3z3rXuzzWGiwejBkF3B-Q,[],7/29/2014,5,4,fH5QqIDiwcgEnrSJYuiaaw,Musashi Japanese Steakhouse,-115.1542695,36.1186973,"[Japanese, Restaurants]","Everything they make is awesome!  If you're here later and have a dirty and good sense of humor, ask for the dirty show! You'll thank me!! Young and Tiger are my favorite chefs! The Saketinis are awesome!!","Everything they make is awesome!  If you're here later and have a dirty and good sense of humor, ask for the dirty show! You'll thank me!!",340
