"","categories","name","stars","state","total"
"1","[Active Life, Bistros, Golf, Restaurants]","[""Siena Bistro""]",3.5,"[""NV""]",1
"2","[Active Life, Cafes, Swimming Pools, Restaurants]","[""Excalibur Pool"",""Liquid Pool Lounge""]",3,"[""NV""]",2
"3","[Afghan, Mediterranean, Restaurants]","[""Kabob Factory""]",4,"[""NV""]",1
"4","[Afghan, Persian/Iranian, Restaurants]","[""Kabob Express""]",4.5,"[""NV""]",1
"5","[Afghan, Restaurants]","[""Royal Kabob Restaurant""]",2.5,"[""NV""]",1
"6","[American (New), Asian Fusion, Chinese, Restaurants]","[""Fat Choy""]",4,"[""NV""]",1
"7","[American (New), Asian Fusion, Restaurants]","[""Mochiko Chicken""]",4,"[""NV""]",1
"8","[American (New), Buffets, Restaurants]","[""Pharoah's Pheast Buffet"",""The Buffet at Bellagio""]",2.75,"[""NV""]",2
"9","[American (New), Cafes, Restaurants]","[""Honey Salt"",""Truffles N Bacon Caf"",""Grand Caf""]",3.83333333333333,"[""NV""]",3
"10","[American (New), Caribbean, Restaurants]","[""DW Bistro""]",4.5,"[""NV""]",1
"11","[American (New), Diners, Restaurants]","[""Denny's""]",3,"[""NV""]",1
"12","[American (New), Event Planning & Services, Venues & Event Spaces, Restaurants]","[""Cili Restaurant""]",4,"[""NV""]",1
"13","[American (New), Filipino, Restaurants]","[""DT's Filipino Food & Karaoke""]",2.5,"[""NV""]",1
"14","[American (New), French, Restaurants]","[""Alex"",""Twist by Pierre Gagnaire"",""Mariposa""]",4.33333333333333,"[""NV""]",3
"15","[American (New), Mediterranean, Restaurants]","[""Sage""]",4,"[""NV""]",1
"16","[American (New), Mexican, Restaurants]","[""YOLOS""]",3.5,"[""NV""]",1
"17","[American (New), Mexican, Salvadoran, Latin American, Restaurants]","[""San Salvador Restaurant""]",3.5,"[""NV""]",1
"18","[American (New), Pizza, Restaurants]","[""Food Factory"",""California Pizza Kitchen""]",4,"[""NV""]",2
"19","[American (New), Restaurants]","[""Sunset Grill"",""Tableau"",""The Verdict's Inn"",""Wolfgang Puck Express"",""American Grill"",""Westside Bistro"",""Wienerschnitzel"",""Rosemary's Restaurant"",""Grill 55"",""Claim Jumper"",""Auntie Anne's"",""DQ Grill & Chill"",""Riva by Wolfgang Puck"",""Putters"",""Tower Suite ",3.46428571428571,"[""NV""]",84
"20","[American (New), Sandwiches, Food Court, Restaurants]","[""Counter Cuisine""]",4.5,"[""NV""]",1
"21","[American (New), Sandwiches, Restaurants]","[""Jacques Cafe""]",4,"[""NV""]",1
"22","[American (New), Sandwiches, Salad, Restaurants]","[""Presto Cafe""]",4.5,"[""NV""]",1
"23","[American (New), Sushi Bars, Restaurants]","[""Kona Grill""]",3.5,"[""NV""]",1
"24","[American (Traditional), American (New), Barbeque, Restaurants]","[""Rock & Rita's""]",2.5,"[""NV""]",1
"25","[American (Traditional), American (New), Buffets, Restaurants]","[""Cravings Buffet at Mirage""]",3.5,"[""NV""]",1
"26","[American (Traditional), American (New), Cafes, Restaurants]","[""Cafe Bellagio""]",3,"[""NV""]",1
"27","[American (Traditional), American (New), Restaurants]","[""Heraea"",""Pantry - 24 Hour Kitchen"",""Chili's Grill & Bar"",""Mood Restaurant"",""Captain's Cove"",""T.G.I. Friday's"",""Second Street Grill"",""Tony Marc's Eats""]",3.375,"[""NV""]",8
"28","[American (Traditional), Asian Fusion, Sushi Bars, Restaurants]","[""Lucky Foo's Restaurant & Bar""]",4,"[""NV""]",1
"29","[American (Traditional), Barbeque, Restaurants]","[""Pit Boss BBQ"",""Lucille's Smokehouse Bar-B-Que"",""North Forty Saloon and BBQ""]",3.33333333333333,"[""NV""]",3
"30","[American (Traditional), Buffets, Restaurants]","[""The Buffet"",""Courtyard Buffet"",""Buffet Roundtable"",""MGM Grand Buffet""]",2.25,"[""NV""]",4
"31","[American (Traditional), Cafes, Restaurants]","[""Farm"",""Grand Caf"",""Mo's Race Day Cafe"",""Victory's Bar & Grill"",""Cafe Nikki"",""24 Seven Cafe""]",3.08333333333333,"[""NV""]",6
"32","[American (Traditional), Chicken Wings, Barbeque, Restaurants]","[""Nevada Chicken Cafe""]",3,"[""NV""]",1
"33","[American (Traditional), Chinese, Restaurants]","[""Victorian Cafe"",""Monterey Room""]",3,"[""NV""]",2
"34","[American (Traditional), Diners, Restaurants]","[""Dennys"",""Tropical Breeze Cafe"",""Mega Cafe"",""Sourdough Cafe"",""Country Cafe"",""Lou's Diner"",""Denny's"",""Mr. Lucky's 24-7"",""Denny's Restaurant""]",3.11111111111111,"[""NV""]",9
"35","[American (Traditional), Fast Food, Chicken Wings, Restaurants]","[""Raising Cane's""]",4,"[""NV""]",6
"36","[American (Traditional), Fast Food, Comfort Food, Restaurants]","[""Strip N Dip Chicken Strips""]",4.5,"[""NV""]",1
"37","[American (Traditional), Fast Food, Restaurants]","[""Sonic Drive-In"",""Burger King""]",3.125,"[""NV""]",12
"38","[American (Traditional), French, Restaurants]","[""Andre's""]",4.5,"[""NV""]",1
"39","[American (Traditional), Hawaiian, Restaurants]","[""Market Street Cafe""]",4,"[""NV""]",1
"40","[American (Traditional), Hot Dogs, Restaurants]","[""Haute Doggery""]",2.5,"[""NV""]",1
"41","[American (Traditional), Latin American, French, Restaurants]","[""Russell's Restaurant""]",4.5,"[""NV""]",1
"42","[American (Traditional), Mediterranean, Restaurants]","[""Chicken D'Lish""]",3.5,"[""NV""]",1
"43","[American (Traditional), Mexican, Diners, Restaurants]","[""The Blue Skillet Family Restaurant""]",3.5,"[""NV""]",1
"44","[American (Traditional), Pizza, Restaurants]","[""The Taste of Chicago"",""California Pizza Kitchen"",""Joe Philly's Pizza""]",3.5,"[""NV""]",5
"45","[American (Traditional), Restaurants, Italian]","[""Lombardi's Romagna Mia""]",3.5,"[""NV""]",1
